,text,username
303,"INI CONTOH ""GABENEERRR""  GAK BIZA KERJA,GAK PUNYA SENSE OF PRIORITY APALAGI CRISIS,,,LEBIH PENTINGKAN DANA 1.3T DIPAKE ""BEGINIAN"" DRPD PROGRAM PENANGGULANGAN BANJIR JAKARTA GOBLOOOKKKK @aniesbaswedan
@ridwankamil @DediMulyadi71 @BimaAryaS @Kemendagri_RI @setkabgoid @mohmahfudmd",Stya Pramana
304,"terkadang klo di pikir-pikir lucu juga
istilah-istilah saat musim hujan
->Jakarta dibilang BANJIR
->Bandung dibilang GENANGAN
->Surabaya dibilang ANTRIAN AIR",dzammar
305,Coba aja nikmati banjir di Jakarta,tanpa nama tanpa gelar
306,"Menyambut ulang tahun MH Thamrin, Minggu 16 Februari dan musim hujan yang membuat Jakarta banjir di sana sini, nyok gowes sepeda bareng menyusuri jejak sejarahnya sebagai pahlawan pemikiran dan penanganan banjir bersama H van Breen, silakan daftar ke @wisekobam @KomunitasBambupic.twitter.com/sPQtAsehru",Sejarah Jakarta
307,Gnabry sehat Perisic cedera. Hernandez sehat Boateng cedera. Gituuuuu aja terus sampe Jakarta bebas banjir.,FC Bayern Fan Indonesia
308,"Perbedaan istilah, di Jakarta banjir, di Bandung namanya genangan air tapi kalo di Surabaya namanya antrian air.  cebonger suka hidup di antrian air",Alhamdulillah
309,Itu perumpamaan lol jakarta hujan 2 jam kgk banjir biasa aje kecuali lebih dari 3 jam baru ada itupun klo deres terus dan surutnya cuman 45 menit dimari klo cuman banjir biasa wkwkw. jadi jangan ngebandingin pemimpin klo ngurus wilayahnya masih banjir.semua pemimpin sama kali +&-,Nugra_
310,"Banjir dijakarta yg demo orang luar Jakarta Tapi Banjir disurabaya yg Kemarin Demo pada Kemana..?
Oh mungkin dia demo banjir  dibayar buat Nutupin Banjir hutang Dan banjir KORUPSI... pic.twitter.com/pywqy2NgyE",ACHMAD TAUFIEQ
311,"@dewitanjung kalo belum pinter ga usah sok2an. Sejak kapan Nabi Nuh alaihissalam di utus pada Suku Quraisy?

Lu bilang banjir pada jaman Nabi Nuh adalah kiriman Alloh. Memang banjir yang melanda Jakarta kiriman mbahmu? https://twitter.com/Cobeh09/status/1225289001474543616 …",Abu Livia
312,Kasihan Warga DKI... Duit segede gitu bukan nya utk pembersihan gorong2 dan sungai agar mengurangi banjir. Malah cari event pencitraan yg kagak ngaruh buat elektabilitas @aniesbaswedan ... Menyedihkan Jakarta,AR C G
313,"Saya warga Surabaya, saya gk pengen menghina pak @aniesbaswedan juga ibu walikota saya. Msg2 punya kelebihan & kekurangan & yg paling tau situasi kota adalah pemimpin & warganya. Nyatanya selama ini Surabaya meskipun banjir jg gak prnh gaduh keik Jakarta dan tetanga2nya ",Deeyanna Achiyat
314,"Buat benahin jakarta kyknya lbh bermanfaat, iang rakyat tuuh, lebih banyak mana? Yg ga butuh banjir atau yg ga butuh formula? Pikir dong pakai otak, boro2 ntn formula klo rumah kebanjiran ",NKRI ❤️ #MiFan
315,"Jokowi Jamin Ibu Kota Baru Bebas Banjir, Rocky Gerung Sebut Harusnya Bencana di Jakarta Diatasi Dulu http://share.babe.news/s/TSSpMcbbd ",Kaseehsaulmouk
316,Goblokkkk bnerr yg ngomong tak bernilai...  Klo jkt banjir dan tenggelam bru tau dahh....  Gurbernurr pilihan rakyat kog jd ya benerrr tuh...  Selamatt ya warga jakarta...,Ians
317,"tapi kok fitnah jakarta tdk layak lagi utk ibukota krn folusi,macet&amp;banjir?  
Lalu kenpa korbankan Rakyat suruh Hijrah utk kepentingan Kapitalis? https://twitter.com/DjokoEdhi1/status/1225059241687339010 …",Ab-Malikha0528-0473
318,"Ya salahin warganya, kenapa jakarta banjir hujat nya ke anies kok bukan ke walikota nya. Berarti yang harus disadarkan warga nya.",Bang Dik
319,"Untuk atasi banjir Jakarta, Jokowi berencana panggil Avatar dan katara Pengendali Air.",MHady
320,Ancaman Banjir di Sekitar Jakarta - Republika Online http://dlvr.it/RPWjJD  *RAC,Kartini
321,sangking legowonya sampe jakarta banjir mulu ya begitu lah   ,notyourtype.
322,Moga2 pas acaranya formula E Jakarta lagi banjir.,Siauw Wan Cie
323,Cuma iseng mungkin bapak gubernur @aniesbaswedan bisa menerapkan ini di beberapa rth di lokasi banjir. Mungkin ahlinya bisa membuatnya. Sekedar konsep org yg peduli thdp jakarta. Semoga jkt ga banjir lagi. Apapun solusinya. #banjir #Jakarta @jokowi @KemenPUpic.twitter.com/IE2k28cR0G,George Ardianda
324,"Keliatan gerombolan mereka ini pendek nalarnya....yang satu memanfaat perempuan u popularitas, yg ini menyamakan wni dr wuhan dg eks wni isis...barusan cawagubnya becanda soal banjir jakarta",davidkidd
325,"Iya juga ya, mungkin mereka takut jakarta tenggelam jika dipimpin Risma, surabaya saja bisa banjir parah apalagi jakarta yang lebih besar dan kompleks ",Peri Riduan
326,Kalau di Jakarta udh banjir sedada Le,yours
327,"Mancing ikan dipinggir kali
Ikan terlihat diair bersih.. 
Jangan ragu untuk peduli
Bersama #LaskarBerbagiKasih 

   Semarang kali nya Banjir
   Ternyata yg banjir kota Jakarta
   Jangan hanya bisa meNYINYIR
   Yukk kita berbagi utk sesama.. 

Colek 

@R036_ 
@Sayang16516144pic.twitter.com/2VR6kE0NPS",𝙍𝙖𝙣𝙤𝙚 𝘽𝙤𝙮𝙤 🌹
328,"Ngeshare link aja, sebutin penghargaan atas apa ??

1. Kurangin kemacetan ? (Jkt masih macet kecuali banjir)
2. Pkl di bebaskan jualan dimana aja (bener sih, Tanah abang, sudirman buanyak bgt)
3. Jakarta bebas banjir (iya kmaren cuma ada kolom warna kuning aja)

Apa lagi ya ??",nia siagian
329,Harusnya Jakarta bisa belajar banget dari Belanda ttg masalah pengendalian banjir bahkan udah ke fase pencegahan.,Thor
330,"Emangnya banjir Jakarta kiriman siapa..?!!!
Moyang lo....?!!
Hujan, banjir, gempa, longsor ya kiriman Allah...
Quraisy mana maksud lo bego...?!!!
Zaman Nuh manusia masih 11 orang, 10 keturunan Nuh yg satu keturunan Tafir, itulah nenek moyangmu dewi tunjang....!!!!",Ance Top
331,"Kasian pak Anies, yang banjir bukan Jakarta doang. Bandung, Tanggerang, Bogor juga ada. Kenapa menggugat pemprov DKI Jakarta ",Ghina Amalia
332,Tidur cepet sama nanggulangin banjir jakarta kayanya sama susahnya,F
333,Semoga pak anis selalu sabar dan tabah menghadapi cobaan dan godaan.amiinn....masalah banjir di jakarta itu memang sudah bencana alam https://twitter.com/JamalBoegis/status/1224850022346317824 …,Andri Dayak
334,"Kamis (06/02/2020) Giat monitoring posko banjir wilayah Jakarta Timur.
#PemadamDKI
#SiapTanggappic.twitter.com/TS3vgkQjRx",Pemadam DKI Jakarta
335,"Kamis (06/02/2020) Giat monitoring posko banjir wilayah Jakarta Timur.
#PemadamDKI
#SiapTanggappic.twitter.com/Lm12C5gAdy",Pemadam DKI Jakarta
336,"Kamis (06/02/2020) Giat monitoring posko banjir wilayah Jakarta Timur.
#PemadamDKI
#SiapTanggappic.twitter.com/PJAWXypyws",Pemadam DKI Jakarta
337,"Jakarta udah ga keras. kena banjir mulu, lemah nyalahinnya bogor bae makannya kalo ada tong sampah masukin pala lu min buang sampah sembarangan bae lu",Mich
338,"Orang bogor, ga kena banjir jakarta, maki2 walkot surabaya.. https://twitter.com/kompascom/status/1225440763342811137 …",Aang
339,"Jongos anjing dari partai sampah nyari panggung,gak di anggap,lem aibon gatot,banjir gatot,revitalisasi monas tetap lanjut,gatot,formula e apalagi,tetap lanjut,eh gak berani manggung di stadion persija yg mau di bangun?
Takut muka dan mulut lo di injakin ama jakmania yak?
",pleciden_tipunegoro
340,Padahal Jakarta banjir Bogor yg di salahkan..org Bogor mau bela Jakarta helllow,Pakabegu
341,"Bukan hanya Jakarta mbk, tapi kota"" lain juga punya bnyak beban tersendiri, baik dari segi banjir, kemiskinan, kesehatan, ketimpangan, dll, ... Jakarta yg bnyak beban tapi bnyak penghargaan mbk lebih balance mbk ",Pasaribu
342,"@tvOneNews
Di beberapa wilayah terkena musibah banjir...
Mohon siarkan khusus live agar warga DKI Jakarta tahu apa tujuan abu janda dan dewi tanjung Demo suruh @aniesbaswedan mundur 
Tanggerang semoga cepet surut dan cepat tanggap evakuasi masyarakat
https://www.facebook.com/284251334961090/posts/3037528492966680/?substory_index=0&sfnsn=wiwspmo&extid=FA0oavDbvbgGDj40 …",Sobri Ervandi
343,Gerombolan FORUM PEMBELA INDONESIA.. Manusia bangsat kalau ada nasi bungkus berbondong bondong kumpul.. Jakarta banjir ikut tenggelam.,Yenkkiethamrin@gmail.com
344,Udah baca prmbahasan tentang revitalisasi lom....monas itu emang taman tumbuh yg bisa diubah. Boleh tahu anggaran apbd surabaya mas..? Kalo gak suka anis gak usah sebegitunya...emang jakarta banjir jaman anus doang...pemimpin sebelumnya gak? Masalahnya skrng yg ngekritik risma...,Widy
345,"KOMPAS niatnya  ko kasih tau  kalo 2015 banjir jakarta itu super parah karena ulah Ahok cs
Tapi takut keliatan vulgar

BUKAN BEGITU KOMPAS

Beritakan Banjir 2020, Mengapa Kompas Pakai Foto Banjir Era Ahok? | PORTAL ISLAM https://www.portal-islam.id/2020/02/beritakan-banjir-2020-mengapa-kompas.html …",supaijo
346,"Sementara itu, tiga orang perwakilan tidak hadir diduga karena mendapatkan intimidasi. Anggota tim Advokasi Banjir Jakarta 2020, 

#JokerAncamPenggugatBanjirhttps://metro.tempo.co/read/1302975/gugat-anies-baswedan-warga-dki-ini-rugi-rp-70-juta-karena-banjir …",Febri Nalisanti
347,"Guys Gabung yuk bersama RajabandarQ Mainkan Game Terbaru Kami Ya
Jangan lewatkan kemenangan anda di WWW,99rajahoki,COM
Modal 20.000 bisa jadi jutawan
9 Game dengan 1 akun user id
WA:+855882290441
#RajaBandarQQ #AgenDomino #AgenBandarQ #BandarQ #DominoQQ #judionline #banjirjakarta pic.twitter.com/Z3Y5je6AdF",Viona
348,"Guys Gabung yuk bersama RajabandarQ Mainkan Game Terbaru Kami Ya
Jangan lewatkan kemenangan anda di WWW,99rajahoki,COM
Modal 20.000 bisa jadi jutawan
9 Game dengan 1 akun user id
WA:+855882290441
#RajaBandarQQ #AgenDomino #AgenBandarQ #BandarQ #DominoQQ #judionline #banjirjakarta pic.twitter.com/P4uWc1n1g3",Bella
349,Ya bu risma gak ganggu warga manapun tapi kalian pendukung bu risma banyak yg menggangu pak anies .. ada sebab ada akibat ..saat banjir jakarta kalian bandingkan Dgn bu risma pas surabaya banjir ? Kalian baperan ,Rose Gold
350,Pengacara Warga Penggugat Gubernur Anies Sebut Ada Pihak Yang Intimidasi Korban Banjir Jakarta https://indopolitika.com/pengacara-warga-penggugat-gubernur-anies-sebut-ada-pihak-yang-intimidasi-korban-banjir-jakarta/ … #JokerAncamPenggugatBanjir,princess violet
351,"Sidang Perdana Gugatan Banjir Jakarta, Majelis Hakim Periksa 'Legal Standing' Penggugat https://m.tribunnews.com/metropolitan/2020/02/03/sidang-perdana-gugatan-banjir-jakarta-majelis-hakim-periksa-legal-standing-penggugat … #JokerAncamPenggugatBanjir",princess violet
352,"https://m.kaskus.co.id/thread/5a7bd2da54c07ada5e8b4569/?ref=profile&med=thread … banjir ddi jakarta  Of It How Far Would You Get On This Season Of The ""Bachelor""? We Know How Old You Are Based On The Aesthetic Images You Pick Don't Freak Out When We Reveal If You're Left Or Right Handed",Alamat Penjualan Alat Pijat Kaki Elektrik
353,"Tidak Usah Bawa2 Agama bisa gak ya kita agar Tidak ada Perpecahan,, kita Manusia Diberi Yg baik dan Buruk Agar Saling membantu di antara kita,, kalau banjir d Jakarta dan Gempa Di Aceh nanti Karena Apa ..karena manusia Memusuhi Agama Tertentu? tentu Saja Tidak..Mari Saling Bantu",Ladoangin Dirga
354,Mending bikin Bansos buat bantuin  orng² yg rumahnya hancur diterjang banjir Jakarta kmrin  https://twitter.com/detikcom/status/1224590235209805824 …,ARIANGGA
355,Hanya mengingatkan monas lagi di bangun dan jakarta lagi susah karna mengatasi banjir yang sampai saat ini belum ada solusinya.,sulaimanmangkunegoro
356,"Pindahkan saja monas sekalian biar ikon jakarta ganti jadi BaGer Banjir&Gersang
#AwasHoaxVirusCorona",indonesia itu PANCASILA
357,Sini ke jakarta banyak pasar kaget yang jual interior bekas banjir,-JinX*|Pro-Amanda
358,bukan anda tp ada orang ( akun ) banjir di luar jakarta yg nyalahin anies..,joehan
359,"Jakarta kebanjiran yg disalahin Anis Baswedan , kenapa Gubernur2 yg lain kena banjir didaerahnya ngga kau salahin juga cara berpikirmu busuk memuakan ..... kenapa ngga sekalian Alam kau salahkan juga",Moch.R Pranata
360,"Sidang Perdana Gugatan Banjir Jakarta, Majelis Hakim Periksa 'Legal Standing' Penggugat!! 
#JokerAncamPenggugatBanjir
https://www.tribunnews.com/metropolitan/2020/02/03/sidang-perdana-gugatan-banjir-jakarta-majelis-hakim-periksa-legal-standing-penggugat …",Rudi Patty
361,"Sidang Perdana Gugatan Banjir Jakarta, Majelis Hakim Periksa 'Legal Standing' Penggugat!! 
#JokerAncamPenggugatBanjir
https://www.tribunnews.com/metropolitan/2020/02/03/sidang-perdana-gugatan-banjir-jakarta-majelis-hakim-periksa-legal-standing-penggugat …",Fikri Tuhulele
362,"@tvOneNews
Di beberapa wilayah terkena musibah banjir...
Mohon siarkan khusus live agar warga DKI Jakarta tahu apa tujuan abu janda dan dewi tanjung Demo suruh @aniesbaswedan mundur 
Tanggerang semoga cepet surut dan cepat tanggap evakuasi masyarakat
https://www.facebook.com/284251334961090/posts/3037528492966680/?substory_index=0&sfnsn=wiwspmo&extid=FA0oavDbvbgGDj40 …",Sobri Ervandi
363,Gerombolan FORUM PEMBELA INDONESIA.. Manusia bangsat kalau ada nasi bungkus berbondong bondong kumpul.. Jakarta banjir ikut tenggelam.,Yenkkiethamrin@gmail.com
364,Udah baca prmbahasan tentang revitalisasi lom....monas itu emang taman tumbuh yg bisa diubah. Boleh tahu anggaran apbd surabaya mas..? Kalo gak suka anis gak usah sebegitunya...emang jakarta banjir jaman anus doang...pemimpin sebelumnya gak? Masalahnya skrng yg ngekritik risma...,Widy
365,"KOMPAS niatnya  ko kasih tau  kalo 2015 banjir jakarta itu super parah karena ulah Ahok cs
Tapi takut keliatan vulgar

BUKAN BEGITU KOMPAS

Beritakan Banjir 2020, Mengapa Kompas Pakai Foto Banjir Era Ahok? | PORTAL ISLAM https://www.portal-islam.id/2020/02/beritakan-banjir-2020-mengapa-kompas.html …",supaijo
366,"Sementara itu, tiga orang perwakilan tidak hadir diduga karena mendapatkan intimidasi. Anggota tim Advokasi Banjir Jakarta 2020, 

#JokerAncamPenggugatBanjirhttps://metro.tempo.co/read/1302975/gugat-anies-baswedan-warga-dki-ini-rugi-rp-70-juta-karena-banjir …",Febri Nalisanti
367,"Guys Gabung yuk bersama RajabandarQ Mainkan Game Terbaru Kami Ya
Jangan lewatkan kemenangan anda di WWW,99rajahoki,COM
Modal 20.000 bisa jadi jutawan
9 Game dengan 1 akun user id
WA:+855882290441
#RajaBandarQQ #AgenDomino #AgenBandarQ #BandarQ #DominoQQ #judionline #banjirjakarta pic.twitter.com/Z3Y5je6AdF",Viona
368,"Guys Gabung yuk bersama RajabandarQ Mainkan Game Terbaru Kami Ya
Jangan lewatkan kemenangan anda di WWW,99rajahoki,COM
Modal 20.000 bisa jadi jutawan
9 Game dengan 1 akun user id
WA:+855882290441
#RajaBandarQQ #AgenDomino #AgenBandarQ #BandarQ #DominoQQ #judionline #banjirjakarta pic.twitter.com/P4uWc1n1g3",Bella
369,Ya bu risma gak ganggu warga manapun tapi kalian pendukung bu risma banyak yg menggangu pak anies .. ada sebab ada akibat ..saat banjir jakarta kalian bandingkan Dgn bu risma pas surabaya banjir ? Kalian baperan ,Rose Gold
370,Pengacara Warga Penggugat Gubernur Anies Sebut Ada Pihak Yang Intimidasi Korban Banjir Jakarta https://indopolitika.com/pengacara-warga-penggugat-gubernur-anies-sebut-ada-pihak-yang-intimidasi-korban-banjir-jakarta/ … #JokerAncamPenggugatBanjir,princess violet
371,"Sidang Perdana Gugatan Banjir Jakarta, Majelis Hakim Periksa 'Legal Standing' Penggugat https://m.tribunnews.com/metropolitan/2020/02/03/sidang-perdana-gugatan-banjir-jakarta-majelis-hakim-periksa-legal-standing-penggugat … #JokerAncamPenggugatBanjir",princess violet
372,"https://m.kaskus.co.id/thread/5a7bd2da54c07ada5e8b4569/?ref=profile&med=thread … banjir ddi jakarta  Of It How Far Would You Get On This Season Of The ""Bachelor""? We Know How Old You Are Based On The Aesthetic Images You Pick Don't Freak Out When We Reveal If You're Left Or Right Handed",Alamat Penjualan Alat Pijat Kaki Elektrik
373,"Tidak Usah Bawa2 Agama bisa gak ya kita agar Tidak ada Perpecahan,, kita Manusia Diberi Yg baik dan Buruk Agar Saling membantu di antara kita,, kalau banjir d Jakarta dan Gempa Di Aceh nanti Karena Apa ..karena manusia Memusuhi Agama Tertentu? tentu Saja Tidak..Mari Saling Bantu",Ladoangin Dirga
374,Mending bikin Bansos buat bantuin  orng² yg rumahnya hancur diterjang banjir Jakarta kmrin  https://twitter.com/detikcom/status/1224590235209805824 …,ARIANGGA
375,Hanya mengingatkan monas lagi di bangun dan jakarta lagi susah karna mengatasi banjir yang sampai saat ini belum ada solusinya.,sulaimanmangkunegoro
376,"Pindahkan saja monas sekalian biar ikon jakarta ganti jadi BaGer Banjir&Gersang
#AwasHoaxVirusCorona",indonesia itu PANCASILA
377,Sini ke jakarta banyak pasar kaget yang jual interior bekas banjir,-JinX*|Pro-Amanda
378,bukan anda tp ada orang ( akun ) banjir di luar jakarta yg nyalahin anies..,joehan
379,"Jakarta kebanjiran yg disalahin Anis Baswedan , kenapa Gubernur2 yg lain kena banjir didaerahnya ngga kau salahin juga cara berpikirmu busuk memuakan ..... kenapa ngga sekalian Alam kau salahkan juga",Moch.R Pranata
380,"Sidang Perdana Gugatan Banjir Jakarta, Majelis Hakim Periksa 'Legal Standing' Penggugat!! 
#JokerAncamPenggugatBanjir
https://www.tribunnews.com/metropolitan/2020/02/03/sidang-perdana-gugatan-banjir-jakarta-majelis-hakim-periksa-legal-standing-penggugat …",Rudi Patty
381,"Sidang Perdana Gugatan Banjir Jakarta, Majelis Hakim Periksa 'Legal Standing' Penggugat!! 
#JokerAncamPenggugatBanjir
https://www.tribunnews.com/metropolitan/2020/02/03/sidang-perdana-gugatan-banjir-jakarta-majelis-hakim-periksa-legal-standing-penggugat …",Fikri Tuhulele
382,"Sidang Perdana Gugatan Banjir Jakarta, Majelis Hakim Periksa 'Legal Standing' Penggugat!! 
#JokerAncamPenggugatBanjirhttps://www.tribunnews.com/metropolitan/2020/02/03/sidang-perdana-gugatan-banjir-jakarta-majelis-hakim-periksa-legal-standing-penggugat …",Zaldin Hehalatu
383,"Sidang Perdana Gugatan Banjir Jakarta, Majelis Hakim Periksa 'Legal Standing' Penggugat!! 
#JokerAncamPenggugatBanjir
https://www.tribunnews.com/metropolitan/2020/02/03/sidang-perdana-gugatan-banjir-jakarta-majelis-hakim-periksa-legal-standing-penggugat …",Amii Tualeka
384,"Wah pak, saya justru ngamatin kedua pihak lho, justru pihak saat jakarta banjir hanya fokus pada jakarta aja, tidak bawa2 daerah lain yg juga banjir",Rizky Putra
385,"bukan berasumsi.. soalnya ada banjir di daerah luar jakarta yg nyalahin anies..
sekedar ingetin aja ",joehan
386,"Hmmm maaf pak, saya bersama orang2 yg berpihak dengan saya ga pernah nyalahin banjir luar jakarta karena perbuatan anies, anda trlalu cepat berasumsi deh",Rizky Putra
387,"Pengacara Warga Penggugat Gubernur @aniesbaswedan  Sebut Ada Pihak Yang Intimidasi Korban Banjir Jakarta!! 
#JokerAncamPenggugatBanjirhttps://indopolitika.com/pengacara-warga-penggugat-gubernur-anies-sebut-ada-pihak-yang-intimidasi-korban-banjir-jakarta/ …",Rudi Patty
388,"Pengacara Warga Penggugat Gubernur @aniesbaswedan  Sebut Ada Pihak Yang Intimidasi Korban Banjir Jakarta!! 
#JokerAncamPenggugatBanjir
https://indopolitika.com/pengacara-warga-penggugat-gubernur-anies-sebut-ada-pihak-yang-intimidasi-korban-banjir-jakarta/ …",Fikri Tuhulele
389,"Pengacara Warga Penggugat Gubernur @aniesbaswedan  Sebut Ada Pihak Yang Intimidasi Korban Banjir Jakarta!! 
#JokerAncamPenggugatBanjir
https://indopolitika.com/pengacara-warga-penggugat-gubernur-anies-sebut-ada-pihak-yang-intimidasi-korban-banjir-jakarta/ …",Zaldin Hehalatu
390,"Pengacara Warga Penggugat Gubernur @aniesbaswedan  Sebut Ada Pihak Yang Intimidasi Korban Banjir Jakarta!! 
#JokerAncamPenggugatBanjir
https://indopolitika.com/pengacara-warga-penggugat-gubernur-anies-sebut-ada-pihak-yang-intimidasi-korban-banjir-jakarta/ …",Amii Tualeka
391,"Azaz Tigor Sebut Kliennya Yang Gugat Banjir Jakarta Diintimidasi..?!! 
#JokerAncamPenggugatBanjirhttps://tirto.id/azaz-tigor-sebut-kliennya-yang-gugat-banjir-jakarta-diintimidasi-ewEc …",Rudi Patty
392,"Azaz Tigor Sebut Kliennya Yang Gugat Banjir Jakarta Diintimidasi..?!! 
#JokerAncamPenggugatBanjir
https://tirto.id/azaz-tigor-sebut-kliennya-yang-gugat-banjir-jakarta-diintimidasi-ewEc …",Fikri Tuhulele
393,"Azaz Tigor Sebut Kliennya Yang Gugat Banjir Jakarta Diintimidasi..?!! 
#JokerAncamPenggugatBanjir
https://tirto.id/azaz-tigor-sebut-kliennya-yang-gugat-banjir-jakarta-diintimidasi-ewEc …",Zaldin Hehalatu
394,"Azaz Tigor Sebut Kliennya Yang Gugat Banjir Jakarta Diintimidasi..?!! 
#JokerAncamPenggugatBanjir
https://tirto.id/azaz-tigor-sebut-kliennya-yang-gugat-banjir-jakarta-diintimidasi-ewEc …",Amii Tualeka
395,"Selamat datang di situs RAJABANDARQ
Situs Judi Online Terbaik dan Terbesar Di Indonesia yang Menyediakan 9 Game Dengan 1 User Id
WA: +855882290441
http://bit.ly/rajawindaftar 
Link: WWW,99rajahoki,COM
#RajaBandarQQ #AgenDomino #AgenBandarQ #BandarQ #DominoQQ #judionline #banjirjakarta pic.twitter.com/3KFEI2JhOT",Viona
396,"Selamat datang di situs RAJABANDARQ
Situs Judi Online Terbaik dan Terbesar Di Indonesia yang Menyediakan 9 Game Dengan 1 User Id
WA: +855882290441
http://bit.ly/rajawindaftar 
Link: WWW,99rajahoki,COM
#RajaBandarQQ #AgenDomino #AgenBandarQ #BandarQ #DominoQQ #judionline #banjirjakarta pic.twitter.com/YqfwYdyBQR",Bella
397,jakarta dan antek2nya diharapkan secure dari banjir ya ,reza f pratama
398,"Banjir DKI Jakarta Full Seminggu 24 Jam Di Blow Up Setiap Hari..

#HukumPerampokBUMNhttps://www.tarbawia.net/2020/01/media-bungkam-tutupi-dampak-banjir.html?m=1 …",🇮🇩aLy_Benzema🇵🇸
399,"Banjir Jakarta akan lebih mudah diatasi, jika saya jadi Presiden. https://twitter.com/VICE_ID/status/1224724456024702977 …",Entipeti
400,"yg aku bingung kenapa warga Jakarta gugat tuh banjir ya  ? 
Surabaya juga banjir tapi 2 jam udah surut sih ... ngak ada tuh yg gugat walikota nya 
nah yg begini kok di bandingkan ",Ngomong Doang
401,"Banjir lageee,jakarta udah ga ada lagi tanah utk penyerapan air hujan kayaknya,semua jalan2/Lorong di beton,pohon ditumbangin,saluran air/Got yg dibuat @PemdaDKIJakarta disetiap kecamatan tidak berjalan/ngadat,arahnya ga tau kemana airnya,sudut kemiringan Got ga diperhitungkan.",🔥⚓John⚓♨️
402,"di jakarta kejadian nya sama waktu banjir , anies di hina betul waktu itu , intinya soal banjir memang itu bencana alam , sayangnya skrang dialihkan ke politik sejak saya di jakarta siapapun gubernur pasti banjir",nizam
403,Jakarta juga banjir,Jalalope-James
404,oh itu hanya genangan air min. bukan banjir. banjir cuma terjadi di jakarta aja. di tempat lain tolong tulis genangan air aja..,anakbundaaku
405,#minggupagi Jakarta mau banjir lg kyak nya..,Mr.Sundanese
406,"Daerah plumpang, jakarta utara dan sekitarnya diguyur hujan deras, di jl  alur laut sudah banjir dengan ketinggian sekitar 15cm

@RadioElshinta @SonoraFM92
#banjir
#ElshintaWeekend",Melda Manurung
407,"Jakarta akan banjir lagi sepertinya,hujan dari shubuh tadi tak kunjung henti",PrΔαs
408,"@aniesbaswedan Tiap hujan selalu takut banjir, kapan org jakarta bs hilang rasa takut itu?! https://twitter.com/pfira_/status/1223753129646153731 …",Mingcu888
409,"ALO ALO Selamat Pagi Teman2 Jakarta Hujan Deras Siapin TOA ya...
Saya Kuatir Jakarta Kembali di Landa BANJIR.....

#4niesIllegalLogging
@ANDRE_OCTA_
@APLpangeran1
@Aryprasetyo85
@BadjaNuswantara
@BiLLRaY2019
@alva_roe_lee_
@spiderr__matrixpic.twitter.com/se3qgpfEg3",Luana
410,"Hujan deras kembali mengguyur Kota Surabaya, Jumat (31/1/2020) mulai sekitar pukul 17.00 Wib. Hujan sekitar 1 jam 30 menit itu membuat sejumlah wilayah di Kota Pahlawan banjir.

Bu Risma tolong warganya dulu..
Jangan mikirin Jakarta terus. https://www.idtoday.co/2020/02/surabaya-diguyur-hujan-sejumlah-wilayah.html …",NU920h0
411,Se-traumatik itu emang dampak banjir jakarta kemarin pastii,Gelombang elektro magadir
412,"Ini yg gagal dipahami sebagian orang. Mereka anggap pernyataan Jokowi itu dgn beliau jadi Presiden, maka Jakarta ga banjir lg.
Dan ini yg selalu diungkit-ungkit mereka.",Jason Bourne
413,"Ayo @psi_id @PSI_Jakarta ada banjir dan pompa rusak, Ayo serang @aniesbaswedan biarkan @Tri_Rismaharini mengatur lalu lintas.https://twitter.com/UtuhWibowo/status/1223567847772672001 …",Benzjava🚭
414,Brl! Jakut banjir se paha jakarta lain semana woi,Brl!
415,"Ingin merasakan banjir ditempat lain,bosan kalau di jakarta terus",Beni Sudiatman
416,Jakarta ngatasin banjir juga yang turun tangan PUPR. ..,Aku
417,"Risma untuk Jakarta yang bebas banjir.  
Dan Allah tunjukkan kesombongan mereka togog akut dengan kontan. https://twitter.com/Zulkiflilubis71/status/1223647220051767296 …",rafiq
418,banjir.jadi mikir 10 tahun kedepan jakarta kaya gimana yes,yudippppppppppppp
419,"Banjir lageee,jakarta udah ga ada lagi tanah utk penyerapan air hujan kayaknya,semua jalan2/Lorong di beton,pohon ditumbangin,saluran air/Got yg dibuat @PemdaDKIJakarta disetiap kecamatan tidak berjalan/ngadat,arahnya ga tau kemana airnya,sudut kemiringan Got ga diperhitungkan.",🔥⚓John⚓♨️
420,"di jakarta kejadian nya sama waktu banjir , anies di hina betul waktu itu , intinya soal banjir memang itu bencana alam , sayangnya skrang dialihkan ke politik sejak saya di jakarta siapapun gubernur pasti banjir",nizam
421,Jakarta juga banjir,Jalalope-James
422,oh itu hanya genangan air min. bukan banjir. banjir cuma terjadi di jakarta aja. di tempat lain tolong tulis genangan air aja..,anakbundaaku
423,#minggupagi Jakarta mau banjir lg kyak nya..,Mr.Sundanese
424,"Daerah plumpang, jakarta utara dan sekitarnya diguyur hujan deras, di jl  alur laut sudah banjir dengan ketinggian sekitar 15cm

@RadioElshinta @SonoraFM92
#banjir
#ElshintaWeekend",Melda Manurung
425,"Jakarta akan banjir lagi sepertinya,hujan dari shubuh tadi tak kunjung henti",PrΔαs
426,"@aniesbaswedan Tiap hujan selalu takut banjir, kapan org jakarta bs hilang rasa takut itu?! https://twitter.com/pfira_/status/1223753129646153731 …",Mingcu888
